",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"419,Duje Ćaleta-Car,hr CRO,ZG,Marseille,fr Ligue 1,26-202,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,94f8d10c"
"420,Hakan Çalhanoğlu,tr TUR,LT,Inter,it Serie A,29-058,1994,26,23,1.924,21.4,2,5,7,1,1,1,2,0,2.7,1.9,3.7,56,37,143,53,009,023,033,005,028,013,017,030,009,026,Partidas,cd0fa27b"
"421,Kerim Calhanoglu,de GER,ZG,Schalke 04,de Bundesliga,20-224,2002,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,02,3,3,3,000,000,000,000,000,004,023,027,004,027,Partidas,d1db4b83"
"422,Daniel Caligiuri,it ITA,ZGLT,Augsburg,de Bundesliga,35-082,1988,12,2,264,2.9,1,0,1,1,0,0,1,0,0.4,0.4,0.4,08,7,11,7,034,000,034,034,034,013,013,026,013,026,Partidas,d1273f09"
"423,Alexander Callens,pe PER,ZG,Girona,es La Liga,30-338,1992,2,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,3,5,1,000,000,000,000,000,000,000,000,000,000,Partidas,af34f10d"
"424,Dominic Calvert-Lewin,eng ENG,AT,Everton,eng Premier League,26-022,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,33,11,8,30,012,000,012,012,012,036,004,040,036,040,Partidas,59e6e5bf"
"425,Mahdi Camara,fr FRA,LT,Brest,fr Ligue 1,24-281,1998,22,17,1.460,16.2,1,0,1,1,0,0,2,1,1.5,1.5,0.3,18,24,57,36,006,000,006,006,006,009,002,011,009,011,Partidas,8577e60a"
"426,Mohamed Camara,gn GUI,LT,Roma,it Serie A,26-038,1997,10,5,412,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.3,06,10,20,9,000,000,000,000,000,007,007,013,007,013,Partidas,13ea2544"
"427,Mohamed Camara,ml MLI,LT,Monaco,fr Ligue 1,23-091,2000,21,19,1.653,18.4,0,3,3,0,0,0,5,1,0.8,0.8,1.9,27,23,98,13,000,016,016,000,016,004,010,014,004,014,Partidas,489e80e3"
"428,Ousmane Camara,gn GUI,ATLT,Auxerre,fr Ligue 1,21-155,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,03,2,2,1,000,000,000,000,000,019,083,101,019,101,Partidas,5a6b06cd"
"429,Ousmane Camara,fr FRA,ZG,Angers,fr Ligue 1,20-032,2003,7,5,418,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,02,3,13,0,000,000,000,000,000,003,000,003,003,003,Partidas,7d3dfdfd"
"430,Eduardo Camavinga,fr FRA,LTZG,Real Madrid,es La Liga,20-148,2002,27,15,1.439,16.0,0,1,1,0,0,0,4,0,0.7,0.7,1.3,20,46,117,68,000,006,006,000,006,005,008,013,005,013,Partidas,7b9c2d84"
"431,Nicolò Cambiaghi,it ITA,ATLT,Empoli,it Serie A,22-100,2000,18,4,597,6.6,3,1,4,3,0,0,1,0,2.1,2.1,0.4,26,34,27,50,045,015,060,045,060,032,007,039,032,039,Partidas,91ff775f"
"432,Andrea Cambiaso,it ITA,ZG,Bologna,it Serie A,23-046,2000,25,19,1.620,18.0,0,2,2,0,0,0,2,0,0.6,0.6,1.6,22,52,61,70,000,011,011,000,011,003,009,012,003,012,Partidas,247ed022"
"433,Axel Camblan,fr FRA,ATLT,Brest,fr Ligue 1,19-220,2003,7,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,03,2,4,9,000,000,000,000,000,022,017,039,022,039,Partidas,9f4a940f"
"434,Sergio Camello,es ESP,AT,Rayo Vallecano,es La Liga,22-056,2001,27,23,1.911,21.2,5,4,9,5,0,0,1,0,5.6,5.6,2.2,78,31,30,95,024,019,042,024,042,026,010,037,026,037,Partidas,873619c6"
"435,Chem Campbell,wls WAL,ATLT,Wolves,eng Premier League,20-098,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,2,4,10,000,000,000,000,000,012,000,012,012,012,Partidas,6f711f67"
"436,Emre Can,de GER,LT,Dortmund,de Bundesliga,29-085,1994,19,12,1.180,13.1,2,1,3,1,1,1,6,0,1.2,0.5,0.4,08,17,53,8,015,008,023,008,015,009,003,012,003,006,Partidas,a65ce836"
"437,Sergio Canales,es ESP,ATLT,Betis,es La Liga,32-050,1991,21,19,1.639,18.2,4,2,6,3,1,1,4,1,3.8,3.0,4.0,71,55,101,98,022,011,033,016,027,021,022,043,017,039,Partidas,a6de370d"
"438,Matteo Cancellieri,it ITA,AT,Lazio,it Serie A,21-054,2002,18,1,243,2.7,0,0,0,0,0,0,3,0,0.4,0.4,0.4,08,14,2,32,000,000,000,000,000,014,015,029,014,029,Partidas,b6a1cdf9"
"439,João Cancelo,pt POR,ZG,Manchester City,eng Premier League,28-315,1994,17,16,1.274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,17,72,106,125,014,007,021,014,021,006,006,012,006,012,Partidas,bd6351cd"
"440,João Cancelo,pt POR,ZGAT,Bayern Munich,de Bundesliga,28-315,1994,7,4,371,4.1,1,2,3,1,0,0,1,0,0.4,0.4,0.7,12,10,17,35,024,049,073,024,073,010,018,028,010,028,Partidas,bd6351cd"
"441,Antonio Candreva,it ITA,ZGLT,Salernitana,it Serie A,36-038,1987,27,25,2.143,23.8,3,3,6,3,0,0,3,1,2.9,2.9,3.0,59,55,113,131,013,013,025,013,025,012,013,025,012,025,Partidas,356c9002"
"442,Thomas Cannon,ie IRL,AT,Everton,eng Premier League,20-100,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,06,1,0,2,000,000,000,000,000,032,195,227,032,227,Partidas,4506aec5"
"443,Sergi Canós,es ESP,ATZG,Brentford,eng Premier League,26-064,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,4,2,7,000,000,000,000,000,009,003,011,009,011,Partidas,1137759d"
"444,Ander Capa,es ESP,ZGLT,Athletic Club,es La Liga,31-058,1992,5,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,8,4,000,000,000,000,000,000,011,011,000,011,Partidas,37f1cf47"
"445,Pierrick Capelle,fr FRA,LTZG,Angers,fr Ligue 1,35-357,1987,22,13,1.228,13.6,0,2,2,0,0,0,8,0,1.3,1.3,1.0,22,14,60,33,000,015,015,000,015,009,007,016,009,016,Partidas,79b2399c"
"446,Étienne Capoue,fr FRA,LT,Villarreal,es La Liga,34-270,1988,19,17,1.464,16.3,0,0,0,0,0,0,1,0,1.8,1.8,0.6,24,31,70,49,000,000,000,000,000,011,004,015,011,015,Partidas,5acc4a10"
"447,Gianluca Caprari,it ITA,LTAT,Monza,it Serie A,29-251,1993,28,25,1.877,20.9,4,2,6,3,1,1,5,0,4.5,3.7,1.7,54,77,60,150,019,010,029,014,024,021,008,030,018,026,Partidas,54e53b7e"
"448,Francesco Caputo,it ITA,AT,Sampdoria,it Serie A,35-244,1987,15,13,1.094,12.2,1,0,1,1,0,0,0,0,1.9,1.9,0.5,24,6,11,76,008,000,008,008,008,015,004,019,015,019,Partidas,5bd72174"
"449,Francesco Caputo,it ITA,AT,Empoli,it Serie A,35-244,1987,13,12,1.043,11.6,2,4,6,1,1,1,1,0,3.9,3.1,1.4,45,10,13,87,017,035,052,009,043,033,012,046,027,039,Partidas,5bd72174"
"450,Maxence Caqueret,fr FRA,LT,Lyon,fr Ligue 1,23-051,2000,27,23,1.999,22.2,1,5,6,1,0,0,2,0,1.9,1.9,3.7,56,28,139,87,005,023,027,005,027,009,017,025,009,025,Partidas,f81ef10d"
"451,Andrea Carboni,it ITA,ZG,Monza,it Serie A,22-062,2001,4,1,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,02,4,9,2,000,000,000,000,000,003,007,010,003,010,Partidas,f7e2af2c"
"452,Franco Carboni,it ITA,ZG,Monza,it Serie A,20-003,2003,2,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,6,2,8,000,000,000,000,000,012,007,019,012,019,Partidas,b033f803"
"453,Valentin Carboni,it ITA,LTZG,Inter,it Serie A,18-033,2005,5,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,1,3,000,000,000,000,000,000,009,009,000,009,Partidas,707b98f1"
"454,Isaac Carcelen,es ESP,ZG,Cádiz,es La Liga,29-349,1993,18,16,1.416,15.7,0,1,1,0,0,0,2,3,0.2,0.2,0.6,08,17,50,29,000,006,006,000,006,001,004,005,001,005,Partidas,c4b888df"
"455,Irvin Cardona,fr FRA,ATLT,Brest,fr Ligue 1,25-242,1997,10,1,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,05,3,4,14,000,000,000,000,000,008,012,020,008,020,Partidas,5e080f73"
"456,Irvin Cardona,fr FRA,LTAT,Augsburg,de Bundesliga,25-242,1997,4,0,136,1.5,1,0,1,1,0,0,2,0,1.3,1.3,0.0,14,5,1,3,066,000,066,066,066,088,002,089,088,089,Partidas,5e080f73"
"457,Igor Carioca,br BRA,ZG,Lorient,fr Ligue 1,26-229,1996,5,3,301,3.3,0,0,0,0,0,0,1,1,0.0,0.0,0.4,05,4,17,11,000,000,000,000,000,001,013,014,001,014,Partidas,e3e32fbb"
"458,Carlos,br BRA,ZG,Monza,it Serie A,24-090,1999,25,25,2.183,24.3,5,4,9,5,0,0,2,0,2.6,2.6,2.7,53,61,75,108,021,016,037,021,037,011,011,022,011,022,Partidas,8d3cd59d"
"459,Diego Carlos,br BRA,ZG,Aston Villa,eng Premier League,30-023,1993,2,2,179,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,04,0,10,0,000,000,000,000,000,018,000,018,018,018,Partidas,b4a014b1"
"460,Juan Carlos,es ESP,G,Girona,es La Liga,35-077,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,688b96e3"
"461,José Carlos Lazo,es ESP,LTAT,Almería,es La Liga,27-050,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,0,3,000,000,000,000,000,027,000,027,027,027,Partidas,5b93209a"
"462,José Carlos Lazo,es ESP,LTAT,Espanyol,es La Liga,27-050,1996,10,0,159,1.8,1,1,2,1,0,0,0,0,0.2,0.2,0.2,05,2,4,10,057,057,113,057,113,013,013,026,013,026,Partidas,5b93209a"
"463,Carmona,es ESP,LTZG,Elche,es La Liga,21-068,2002,9,8,589,6.5,1,0,1,1,0,0,5,1,0.4,0.4,0.1,05,8,10,27,015,000,015,015,015,006,002,008,006,008,Partidas,2dce876a"
"464,Carmona,es ESP,ZG,Sevilla,es La Liga,21-068,2002,10,5,527,5.9,2,1,3,2,0,0,6,1,0.8,0.8,0.4,12,9,11,8,034,017,051,034,051,014,006,020,014,020,Partidas,2dce876a"
"465,Marco Carnesecchi,it ITA,G,Cremonese,it Serie A,22-280,2000,19,19,1.710,19.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,01,0,0,0,000,005,005,000,005,000,001,001,000,001,Partidas,8ec56e62"
"466,Yannick Carrasco,be BEL,ZGLT,Atlético Madrid,es La Liga,29-215,1993,25,16,1.487,16.5,3,0,3,3,0,0,1,0,4.4,4.4,2.1,65,83,52,153,018,000,018,018,018,026,013,039,026,039,Partidas,de39485a"
"467,Dani Carvajal,es ESP,ZG,Real Madrid,es La Liga,31-086,1992,21,16,1.452,16.1,0,2,2,0,0,0,4,0,0.2,0.2,1.9,21,14,47,98,000,012,012,000,012,001,012,013,001,013,Partidas,4958bfb2"
"468,Fabio Carvalho,pt POR,LTAT,Liverpool,eng Premier League,20-220,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,1.1,1.1,0.1,12,7,11,26,053,000,053,053,053,029,003,032,029,032,Partidas,966e28d0"
"469,Matis Carvalho,pt POR,G,Montpellier,fr Ligue 1,23-344,1999,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,8608f269"
"470,William Carvalho,pt POR,LT,Betis,es La Liga,31-000,1992,23,21,1.717,19.1,2,1,3,2,0,0,5,1,2.1,2.1,0.9,30,35,149,39,010,005,016,010,016,011,005,016,011,016,Partidas,dee86451"
"471,Nicolò Casale,it ITA,ZG,Lazio,it Serie A,25-052,1998,20,20,1.765,19.6,1,1,2,1,0,0,5,0,0.6,0.6,0.3,09,9,55,3,005,005,010,005,010,003,002,005,003,005,Partidas,3f5f38fb"
"472,Casemiro,br BRA,LT,Manchester Utd,eng Premier League,31-043,1992,19,15,1.338,14.9,2,3,5,2,0,0,5,2,2.1,2.1,2.0,41,8,89,24,013,020,034,013,034,014,014,027,014,027,Partidas,4d224fe8"
"473,Casemiro,br BRA,LT,Real Madrid,es La Liga,31-043,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,4d224fe8"
"474,Matty Cash,pl POL,ZG,Aston Villa,eng Premier League,25-243,1997,23,18,1.639,18.2,0,1,1,0,0,0,3,0,0.2,0.2,0.7,09,41,74,56,000,005,005,000,005,001,004,005,001,005,Partidas,2389cdc2"
"475,Tommaso Cassandro,it ITA,ZG,Lecce,it Serie A,23-088,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,6c4307ee"
"476,Timothy Castagne,be BEL,ZG,Leicester City,eng Premier League,27-123,1995,28,27,2.445,27.2,1,3,4,1,0,0,3,0,1.8,1.8,1.9,37,34,83,119,004,011,015,004,015,007,007,014,007,014,Partidas,197640fd"
"477,Michele Castagnetti,it ITA,LT,Cremonese,it Serie A,33-101,1989,17,8,836,9.3,0,1,1,0,0,0,2,0,0.5,0.5,1.4,19,9,73,7,000,011,011,000,011,006,015,021,006,021,Partidas,ad92526f"
"478,Koen Casteels,be BEL,G,Wolfsburg,de Bundesliga,30-286,1992,26,26,2.340,26.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,00,0,2,0,000,004,004,000,004,000,000,000,000,000,Partidas,db401046"
"479,Valentín Castellanos,ar ARG,AT,Girona,es La Liga,24-186,1998,26,25,2.001,22.2,6,0,6,5,1,1,8,0,7.2,6.4,1.0,74,27,29,109,027,000,027,022,022,032,004,037,029,033,Partidas,da76bab4"
"480,Jean-Charles Castelletto,cm CMR,ZG,Nantes,fr Ligue 1,28-071,1995,23,21,1.758,19.5,0,0,0,0,0,0,2,0,0.5,0.5,0.0,05,15,68,13,000,000,000,000,000,003,000,003,003,003,Partidas,e0f3a1f6"
"481,Samu Castillejo,es ESP,AT,Valencia,es La Liga,28-079,1995,21,15,1.151,12.8,3,0,3,3,0,0,6,0,2.4,2.4,2.3,47,43,56,91,023,000,023,023,023,019,018,037,019,037,Partidas,130a7a3f"
"482,Jonny Castro,es ESP,ZG,Wolves,eng Premier League,29-035,1994,18,14,1.261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,13,24,70,46,007,000,007,007,007,002,007,010,002,010,Partidas,e28868f3"
"483,Gaetano Castrovilli,it ITA,LT,Fiorentina,it Serie A,26-049,1997,7,1,187,2.1,0,0,0,0,0,0,2,0,0.2,0.2,0.1,03,4,5,3,000,000,000,000,000,012,003,015,012,015,Partidas,0728bebe"
"484,Danilo Cataldi,it ITA,LT,Lazio,it Serie A,28-244,1994,25,23,1.705,18.9,0,1,1,0,0,0,4,0,0.2,0.2,0.9,12,8,78,13,000,005,005,000,005,001,005,006,001,006,Partidas,ba3d3bea"
"485,Catena,es ESP,ZG,Rayo Vallecano,es La Liga,28-161,1994,25,25,2.249,25.0,1,1,2,1,0,0,11,1,1.1,1.1,1.3,24,8,82,1,004,004,008,004,008,004,005,010,004,010,Partidas,274ab13c"
"486,Yoann Cathline,fr FRA,ATLT,Lorient,fr Ligue 1,20-259,2002,16,8,820,9.1,1,1,2,1,0,0,0,0,1.4,1.4,0.7,21,41,23,85,011,011,022,011,022,015,007,023,015,023,Partidas,4db5915d"
"487,Maximiliano Caufriez,be BEL,ZG,Clermont Foot,fr Ligue 1,26-050,1997,17,16,1.412,15.7,0,0,0,0,0,0,8,1,0.3,0.3,0.0,03,18,65,6,000,000,000,000,000,002,000,002,002,002,Partidas,c92c24f0"
"488,Edinson Cavani,uy URU,AT,Valencia,es La Liga,36-052,1987,16,15,1.027,11.4,5,1,6,3,2,3,4,0,5.3,2.9,1.3,42,8,12,42,044,009,053,026,035,046,011,057,026,037,Partidas,527f063d"
"489,Dani Ceballos,es ESP,LT,Real Madrid,es La Liga,26-243,1996,20,10,841,9.3,0,1,1,0,0,0,4,0,0.4,0.4,0.9,14,38,125,26,000,011,011,000,011,004,010,015,004,015,Partidas,c0617e2b"
"490,Pietro Ceccaroni,it ITA,ZG,Lecce,it Serie A,27-107,1995,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,4d1efb48"
"491,Federico Ceccherini,it ITA,ZG,Hellas Verona,it Serie A,30-331,1992,16,15,1.098,12.2,1,0,1,1,0,0,7,1,0.7,0.7,0.1,08,20,45,20,008,000,008,008,008,006,001,007,006,007,Partidas,d9624b51"
"492,Assan Ceesay,gm GAM,AT,Lecce,it Serie A,29-021,1994,24,14,1.190,13.2,4,0,4,4,0,0,1,0,3.0,3.0,0.1,31,14,14,67,030,000,030,030,030,023,001,024,023,024,Partidas,07f8bcc8"
"493,Emil Ceide,no NOR,AT,Sassuolo,it Serie A,21-216,2001,14,3,332,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.7,09,22,13,34,000,000,000,000,000,006,018,025,006,025,Partidas,98a84572"
"494,Zeki Çelik,tr TUR,ZG,Roma,it Serie A,26-049,1997,17,10,1.017,11.3,0,0,0,0,0,0,5,0,0.3,0.3,1.3,16,23,44,57,000,000,000,000,000,003,012,014,003,014,Partidas,31a62dc7"
"495,Álex Centelles,es ESP,ZG,Almería,es La Liga,25-150,1997,5,2,315,3.5,0,0,0,0,0,0,0,1,0.1,0.1,0.1,02,6,12,15,000,000,000,000,000,002,003,006,002,006,Partidas,ae852b7d"
"496,Fabien Centonze,fr FRA,ZG,Nantes,fr Ligue 1,27-081,1996,16,13,1.163,12.9,0,0,0,0,0,0,3,0,0.5,0.5,0.5,10,27,66,85,000,000,000,000,000,004,004,008,004,008,Partidas,3c6bbbab"
"497,Franco Cervi,ar ARG,LT,Celta Vigo,es La Liga,28-316,1994,26,16,1.427,15.9,0,3,3,0,0,0,0,1,2.1,2.1,2.0,42,31,44,71,000,019,019,000,019,013,013,026,013,026,Partidas,5e1028e5"
"498,Julio César Enciso,py PAR,ATLT,Brighton,eng Premier League,19-074,2004,9,0,188,2.1,1,0,1,1,0,0,1,0,1.5,1.5,0.1,17,7,6,15,048,000,048,048,048,074,005,079,074,079,Partidas,9cfbad36"
"499,Leonardo César Jardim,br BRA,G,Lille,fr Ligue 1,28-018,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,000,000,000,000,000,,,,,,Partidas,f5dfc256"
"500,Julian Chabot,de GER,ZG,Köln,de Bundesliga,25-054,1998,13,13,1.083,12.0,0,1,1,0,0,0,2,0,1.1,1.1,0.6,17,2,31,1,000,008,008,000,008,009,005,014,009,014,Partidas,ae7058f9"
"501,Florian Chabrolle,fr FRA,LT,Ajaccio,fr Ligue 1,25-000,1998,6,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,01,1,14,8,000,000,000,000,000,002,000,002,002,002,Partidas,5d9577aa"
"502,El Chadaille Bitshiabu,fr FRA,ZG,Paris S-G,fr Ligue 1,17-326,2005,8,4,376,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,01,0,17,4,000,000,000,000,000,000,001,001,000,001,Partidas,2180c761"
"503,Fares Chaïbi,dz ALG,ATLT,Toulouse,fr Ligue 1,20-130,2002,27,18,1.743,19.4,4,4,8,4,0,0,2,0,3.5,3.5,3.6,71,52,69,160,021,021,041,021,041,018,019,037,018,037,Partidas,357103bd"
"504,Nathaniel Chalobah,eng ENG,LT,Fulham,eng Premier League,28-116,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,01,0,0,0,000,000,000,000,000,071,000,071,071,071,Partidas,422862ea"
"505,Trevoh Chalobah,eng ENG,ZG,Chelsea,eng Premier League,23-276,1999,16,11,1.007,11.2,0,0,0,0,0,0,3,0,0.4,0.4,0.1,05,9,32,9,000,000,000,000,000,004,001,004,004,004,Partidas,5515376c"
"506,Calum Chambers,eng ENG,ZGLT,Aston Villa,eng Premier League,28-077,1995,10,2,289,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,01,3,14,0,000,000,000,000,000,001,001,002,001,002,Partidas,dc6f5bdd"
"507,Timothy Chandler,us USA,ZG,Eint Frankfurt,de Bundesliga,33-009,1990,4,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,7,5,000,000,000,000,000,000,002,002,000,002,Partidas,b3b7f5a6"
"508,Gaëtan Charbonnier,fr FRA,ATLT,Auxerre,fr Ligue 1,34-101,1988,6,3,254,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,07,2,11,18,035,000,035,035,035,021,005,026,021,026,Partidas,18ebca4b"
"509,Brendan Chardonnet,fr FRA,ZG,Brest,fr Ligue 1,28-106,1994,21,18,1.681,18.7,0,0,0,0,0,0,5,0,0.9,0.9,0.3,11,2,50,2,000,000,000,000,000,005,002,006,005,006,Partidas,16aa7d4c"
"510,Xavier Chavalerin,fr FRA,LT,Troyes,fr Ligue 1,32-031,1991,27,19,1.841,20.5,2,2,4,2,0,0,3,0,1.0,1.0,2.0,30,15,77,39,010,010,020,010,020,005,010,015,005,015,Partidas,279ddf6a"
"511,Pep Chavarría,es ESP,ATLT,Rayo Vallecano,es La Liga,24-362,1998,9,0,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,02,6,6,10,000,000,000,000,000,000,014,014,000,014,Partidas,63c5e56b"
"512,Pape Cheikh Diop,sn SEN,LT,Elche,es La Liga,25-242,1997,1,0,33,0.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,873ce3a2"
"513,Rayan Cherki,fr FRA,LTAT,Lyon,fr Ligue 1,19-233,2003,26,13,1.192,13.2,3,4,7,3,0,0,3,0,3.3,3.3,5.0,83,85,91,181,023,030,053,023,053,025,038,063,025,063,Partidas,b34c63a5"
"514,Ilyes Cheti,dz ALG,ZG,Angers,fr Ligue 1,28-075,1995,6,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,02,2,4,7,000,000,000,000,000,000,007,007,000,007,Partidas,9d498560"
"515,Lucas Chevalier,fr FRA,G,Lille,fr Ligue 1,21-152,2001,23,23,2.070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,03,0,0,0,000,000,000,000,000,000,001,001,000,001,Partidas,b3d76d84"
"516,Fabio Chiarodia,it ITA,ZG,Werder Bremen,de Bundesliga,17-306,2005,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,4,0,000,000,000,000,000,000,000,000,000,000,Partidas,48780156"
"517,Federico Chiesa,it ITA,ZGLT,Juventus,it Serie A,25-164,1997,11,2,394,4.4,0,3,3,0,0,0,1,0,0.7,0.7,1.7,24,20,12,36,000,069,069,000,069,017,039,056,017,056,Partidas,b0f7e36c"
"518,Ben Chilwell,eng ENG,ZGLT,Chelsea,eng Premier League,26-107,1996,18,11,1.041,11.6,2,2,4,2,0,0,2,0,1.1,1.1,2.0,30,34,29,114,017,017,035,017,035,009,017,026,009,026,Partidas,d2424d1b"
"519,Vlad Chiricheș,ro ROU,ZG,Cremonese,it Serie A,33-144,1989,11,10,726,8.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,2,11,1,000,000,000,000,000,000,000,000,000,000,Partidas,c316607a"
"520,Pedro Chirivella,es ESP,LT,Nantes,fr Ligue 1,25-319,1997,24,23,1.891,21.0,0,1,1,0,0,0,1,0,0.8,0.8,1.6,24,15,164,22,000,005,005,000,005,004,008,011,004,011,Partidas,68a26d51"
"521,Joris Chotard,fr FRA,LT,Montpellier,fr Ligue 1,21-195,2001,26,19,1.803,20.0,0,2,2,0,0,0,4,0,0.3,0.3,2.0,23,7,77,24,000,010,010,000,010,002,010,012,002,012,Partidas,7909ffa4"
"522,Andreas Christensen,dk DEN,ZG,Barcelona,es La Liga,26-362,1996,16,15,1.263,14.0,0,1,1,0,0,0,2,0,0.4,0.4,0.5,09,16,72,2,000,007,007,000,007,003,003,006,003,006,Partidas,1cb49278"
"523,Oliver Christensen,dk DEN,G,Hertha BSC,de Bundesliga,24-016,1999,26,26,2.340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,2,0,000,000,000,000,000,000,000,000,000,000,Partidas,af104654"
"524,Ryan Christie,sct SCO,LTAT,Bournemouth,eng Premier League,28-044,1995,23,13,1.168,13.0,1,0,1,1,0,0,1,0,1.6,1.6,1.0,27,24,54,40,008,000,008,008,008,013,008,021,013,021,Partidas,26ce2263"
"525,Carney Chukwuemeka,eng ENG,LTAT,Chelsea,eng Premier League,19-169,2003,11,1,232,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,04,13,12,16,000,000,000,000,000,011,004,016,011,016,Partidas,b2f9c73e"
"526,Samuel Chukwueze,ng NGA,ATLT,Villarreal,es La Liga,23-320,1999,26,17,1.566,17.4,4,5,9,4,0,0,1,0,3.7,3.7,3.2,69,82,49,179,023,029,052,023,052,021,018,039,021,039,Partidas,b8a642fc"
"527,Darko Churlinov,mk MKD,AT,Stuttgart,de Bundesliga,22-270,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,c6608135"
"528,Víctor Chust,es ESP,ZG,Cádiz,es La Liga,23-033,2000,12,9,863,9.6,1,0,1,1,0,0,3,0,0.8,0.8,0.0,08,3,21,0,010,000,010,010,010,008,000,009,008,009,Partidas,ec1a731e"
"529,Tolga Ciğerci,tr TUR,LT,Hertha BSC,de Bundesliga,31-015,1992,8,7,541,6.0,0,1,1,0,0,0,2,0,0.1,0.1,0.3,04,3,26,1,000,017,017,000,017,002,005,007,002,007,Partidas,6e17c802"
"530,Yanis Cimignani,fr FRA,LTZG,Ajaccio,fr Ligue 1,21-075,2002,8,3,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,03,3,0,17,000,000,000,000,000,006,003,009,006,009,Partidas,7495aba7"
